SampleID	Sim_pheno
HG00253	1.64269494205485
HG00255	-8.8558613911268
HG00256	-9.69060714566104
HG00257	2.87348663537912
HG00258	7.68204265333102
HG00259	-3.12448350963786
HG00260	-20.7925704774011
HG00261	-9.08569799849279
HG00262	-12.5048120316746
HG00263	-15.5117343025445
HG00264	4.58683797502698
HG00265	-14.4401909719272
HG00266	-1.29398238737036
HG00267	-0.456605968411847
HG00268	-7.6786296226901
HG00269	-2.13101689391242
HG00271	4.617335789828
HG00272	-14.0757503414249
HG00273	1.99591463748512
HG00274	-0.103709337287124
HG00275	-10.3495113920407
HG00276	3.43562112470448
HG00277	1.04866625487495
HG00278	-4.09857930956171
HG00280	0.42140779752685
HG00281	-3.00746804006864
HG00282	16.6679349243301
HG00284	-6.8550269227713
HG00285	-16.3451217763312
HG00306	-11.9248671841171
HG00308	-1.37849499773254
HG00309	4.45199469240812
HG00310	6.01206154356544
HG00311	1.9283467040266
HG00313	-4.07812145350198
HG00315	5.07522768706276
HG00319	-4.35422764471908
HG00320	-3.17575789462887
HG00321	-4.69747519660486
HG00323	-17.0318408941087
HG00324	-0.459881844573125
HG00325	-7.77220640372077
HG00326	10.6159829563805
HG00327	-12.9533724934717
HG00328	-4.52892276134956
HG00329	4.30304611844884
HG00330	5.14791302660489
HG00331	-4.826585734199
HG00332	-8.60376277837057
HG00334	6.18994056813929
HG00335	-3.38982767421946
HG00336	2.4024648820866
HG00337	1.63467829795398
HG00338	15.0276790177874
HG00339	-17.1572792975363
HG00341	9.67276339113885
HG00342	-5.02186312887418
HG00343	-12.3939872420674
HG00344	-29.5186523150842
HG00345	1.1065553722195
HG00346	12.390012505281
HG00349	-3.81228513563615
HG00350	-11.8369450908324
HG00351	-7.45651203379265
HG00353	-3.83403956661358
HG00355	-23.3866161322221
HG00356	17.330778385463
HG00358	-21.8795025551607
HG00360	-3.95734700537775
HG00361	-5.06466595164406
HG00362	-8.80583786124787
HG00364	-6.71042303756597
HG00365	-25.767111921851
HG00366	-7.87854618094574
HG00367	19.1646511803073
HG00369	-10.9597082774573
HG00371	3.88646795884103
HG00372	-3.2630571449296
HG00373	-8.28234754184824
HG00375	-4.06734288397204
HG00376	-14.9206026901464
HG00378	1.06838919605925
HG00379	-12.646535435658
HG00380	-0.424678521118071
HG00381	-12.20144977961
HG00382	14.8465408025784
HG00383	-1.14811027549154
HG00384	-5.75804302276403
HG01334	23.136180542895
HG01789	-1.69448290037786
HG01790	23.3478964772127
HG01791	4.29808343111664
HG02215	-1.87917871774773
NA06984	5.32004124083964
NA06985	6.23913535830328
NA06986	-2.30351616698674
NA06989	1.08042892172845
NA06994	-14.8419025043607
NA07037	-2.53932891451263
NA07048	0.553307703061227
NA07051	-5.26289381719737
NA07056	7.29402121688794
NA07347	-3.85031959795632
NA07357	-10.0737468013386
NA10847	7.19596109741879
NA10851	15.4486990318853
NA11829	9.02069244837826
NA11830	1.98408392503034
NA11831	-2.08679603406382
NA11832	5.40003798651092
NA11840	4.9469659356748
NA11843	7.60089893915093
NA11881	14.956366682234
NA11892	-5.17335314885449
NA11893	-3.9189014957469
NA11894	8.26908031812141
NA11918	4.79475322569047
NA11920	0.168599724676775
NA11930	6.68615643120599
NA11931	14.2411832251554
NA11992	10.4327747335533
NA11994	1.90494625226991
NA11995	21.2265213761618
NA12004	2.11381292677383
NA12005	-2.70992715057213
NA12006	-0.605356700820218
NA12043	11.8041143620692
NA12044	-4.43589586088136
NA12045	3.72942341442265
NA12058	-10.3142583598948
NA12144	15.2382690552174
NA12154	1.30818963899592
NA12155	11.321305693778
NA12156	-4.64691148855378
NA12234	-2.39098261336989
NA12249	10.0921307450073
NA12272	-2.1552348433377
NA12273	-2.74958126583553
NA12275	2.661618812899
NA12282	-7.1116583675518
NA12283	1.68894790060766
NA12286	-0.931840082752235
NA12287	1.6823815322922
NA12340	14.5193232160894
NA12341	5.04717810569266
NA12342	4.69597739586827
NA12347	-5.43269344487484
NA12348	4.59603937044615
NA12383	7.7826703348845
NA12399	-8.9067462573034
NA12400	0.842383930103592
NA12413	7.34219127856284
NA12489	1.14512111867737
NA12546	1.25813552850201
NA12716	5.89009689671571
NA12717	-1.477427341524
NA12718	7.05755171792544
NA12749	-21.0242034827133
NA12750	-6.15720038755536
NA12751	-3.97451762890043
NA12760	10.0387468237769
NA12761	-4.86298056688875
NA12762	0.630437702189009
NA12763	-17.5629562344369
NA12775	-4.17466418817543
NA12776	7.91899644782451
NA12777	6.69626724362707
NA12778	-0.75869713592518
NA12812	-8.29204772195545
NA12813	5.13767053612646
NA12814	14.739795923855
NA12815	4.28504737289697
NA12827	17.0505574298672
NA12829	-8.68870661133738
NA12830	5.60238374304688
NA12842	4.41517969871832
NA12843	-12.9006630618256
NA12872	-13.8709138243674
NA12873	20.1063044051652
NA12874	6.40869570326582
NA12889	7.24108441749706
NA12890	-2.91872668996033
NA18486	1.17617188842335
NA18488	5.50399341446137
NA18489	0.539219106515202
NA18498	-4.24653940509429
NA18499	-7.78062278744589
NA18502	9.86486067994861
NA18505	0.828869904725917
NA18508	-2.15886708444861
NA18510	-16.5248639189478
NA18511	1.29297943623549
NA18517	11.8758831578039
NA18519	2.77645621133381
NA18520	16.0854573539944
NA18858	7.40084339764351
NA18861	17.9382964018394
NA18867	5.45576880174945
NA18868	2.33925102148033
NA18870	-2.45206332094481
NA18873	-5.08890022441265
NA18907	-1.015000217249
NA18908	10.9607150315315
NA18909	14.1170271493949
NA18910	8.81380259770995
NA18912	3.93629886661785
NA18916	-14.8817439732269
NA18917	20.7035178620408
NA18923	4.44147829017082
NA18933	11.6642201081256
NA18934	-7.79773837007228
NA19092	-5.46540386790639
NA19093	0.836725381286355
NA19095	4.74162957905492
NA19096	9.42147089137477
NA19098	-5.20518765327873
NA19099	1.8284886252388
NA19102	-1.74517772735513
NA19107	-0.0243740401404255
NA19108	-1.6878243048726
NA19113	8.11150851068191
NA19114	10.9216902122606
NA19116	16.7661280416337
NA19117	-4.84199888202068
NA19118	-3.00666708782445
NA19119	12.3439344578101
NA19121	5.59062432773981
NA19129	-1.24406836886796
NA19130	14.4811742103282
NA19131	-17.6602807825492
NA19137	13.4374417855845
NA19138	-5.42185470290817
NA19141	1.47582674717834
NA19143	8.24284863986927
NA19144	4.19296830371312
NA19146	5.05800846426865
NA19147	1.15177263660632
NA19149	-8.22799757746032
NA19152	5.76628855106728
NA19153	0.276554961921584
NA19159	-2.89108419362486
NA19160	6.93266151679509
NA19171	-3.07110066426203
NA19172	12.414076627469
NA19175	4.3903085109787
NA19184	15.803220564973
NA19185	12.6743068876115
NA19189	10.7687779274952
NA19190	9.99805755982977
NA19197	-5.56965267192534
NA19198	11.8484368993965
NA19200	-11.9266433830287
NA19201	7.57264812759392
NA19204	6.43164003798548
NA19206	-5.88500584229525
NA19207	-13.7913260677652
NA19209	-1.07893428357638
NA19210	6.49874568218969
NA19213	-8.61989942140232
NA19214	15.0509846573072
NA19222	11.7868060275259
NA19223	5.47451580664559
NA19225	-2.39750775584204
NA19235	12.6254244846274
NA19236	-2.45104763711099
NA19247	8.31704206767177
NA19248	22.3672256997683
NA19256	-3.41246532764011
NA19257	10.0857672122843
NA20502	3.75136946325917
NA20503	-11.8317903351169
NA20504	18.6374474975697
NA20505	19.0124105989443
NA20506	12.1977010899957
NA20507	-0.120339137661261
NA20508	8.27015591816751
NA20509	7.20484583774115
NA20510	7.47293738862287
NA20512	18.2203726842313
NA20513	2.85350711171179
NA20514	-22.1390803658783
NA20515	-3.91880803827579
NA20516	1.00763776490526
NA20517	-7.84649020800489
NA20518	10.0621843529284
NA20519	5.3278855909088
NA20520	5.20718452299454
NA20521	2.24468670709152
NA20524	4.46265620994777
NA20525	3.62387559531485
NA20527	2.65490827998314
NA20528	-5.72306950959599
NA20529	10.3651930771185
NA20530	-14.6392102855571
NA20531	-3.72429105076333
NA20532	4.94451815905013
NA20534	-0.24511226316025
NA20535	-2.71197031594211
NA20536	-8.64814451869952
NA20538	-2.94423268515249
NA20539	-9.4927742481264
NA20540	-5.66565060502545
NA20541	11.7575052211974
NA20542	1.64468262545407
NA20543	9.13859603284523
NA20544	-7.42798485339046
NA20581	10.8696957593887
NA20582	7.68203666896292
NA20585	-7.33409783838186
NA20586	6.20181564172745
NA20588	-5.02670052928045
NA20589	1.81035093964629
NA20752	5.66152587487756
NA20754	5.73416507141476
NA20756	2.23622168532902
NA20757	10.0418882956398
NA20758	4.28536200988176
NA20759	-3.03525172184222
NA20760	-18.0486134827578
NA20761	-7.86099598283721
NA20765	-2.49800913262478
NA20766	2.31248320161531
NA20768	-5.03405428719996
NA20769	-2.68464921877062
NA20770	3.70701902488175
NA20771	0.627409635856937
NA20772	2.36624814695668
NA20773	18.3543345512465
NA20774	-3.61635599358998
NA20778	-3.38206115599125
NA20783	8.43998086492939
NA20785	1.25546779125072
NA20786	15.5506501304218
NA20787	-10.9479913023508
NA20790	-5.32977973411661
NA20792	-0.000625107629804056
NA20795	-11.0894539991423
NA20796	-5.79312971360627
NA20797	5.67861353156033
NA20798	-2.491808115956
NA20799	-5.9591774394112
NA20800	5.16069167878555
NA20801	11.6382562440013
NA20802	4.52924560675035
NA20803	17.3380580472068
NA20804	11.1690083141439
NA20805	1.70219765042345
NA20806	-16.7336509937463
NA20807	-7.55698847413386
NA20808	2.01320771589725
NA20809	6.46616965267925
NA20810	10.5264265456055
NA20811	-0.514417763889906
NA20812	13.3558381505977
NA20813	2.16438843095962
NA20814	-2.64974173768791
NA20815	17.224071210276
NA20819	-17.899253843899
NA20826	8.7450085186271
NA20828	-22.5164180693054
